SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,POPEST_MALE,POPEST_FEM,AGE04_MALE,AGE04_FEM,AGE59_MALE,AGE59_FEM,AGE1014_MALE,AGE1014_FEM,AGE1519_MALE,AGE1519_FEM,AGE2024_MALE,AGE2024_FEM,AGE2529_MALE,AGE2529_FEM,AGE3034_MALE,AGE3034_FEM,AGE3539_MALE,AGE3539_FEM,AGE4044_MALE,AGE4044_FEM,AGE4549_MALE,AGE4549_FEM,AGE5054_MALE,AGE5054_FEM,AGE5559_MALE,AGE5559_FEM,AGE6064_MALE,AGE6064_FEM,AGE6569_MALE,AGE6569_FEM,AGE7074_MALE,AGE7074_FEM,AGE7579_MALE,AGE7579_FEM,AGE8084_MALE,AGE8084_FEM,AGE85PLUS_MALE,AGE85PLUS_FEM
50,6,5,California,Amador County,11,21435,17970,822,807,876,714,827,862,882,786,914,680,1295,879,1320,817,1480,893,1516,755,1558,946,1577,1158,1657,1492,1648,1667,1680,1817,1453,1527,900,961,572,598,458,611
50,6,5,California,Amador County,12,21638,18114,814,798,921,751,829,866,893,759,888,680,1271,882,1366,856,1455,903,1560,797,1564,895,1507,1088,1661,1506,1667,1630,1665,1792,1532,1653,957,1017,595,636,493,605
50,6,7,California,Butte County,4,108974,111001,6322,5962,6247,6196,6533,6182,8363,8016,13004,11802,7387,6831,6446,5964,5637,5446,6000,5865,6388,6721,7210,7523,7345,7867,6970,7397,4838,5306,3526,4071,2703,3242,2033,2866,2022,3744
50,6,7,California,Butte County,5,109419,111450,6223,5903,6324,6260,6543,6057,8181,7975,13600,12491,7089,6516,6615,6069,5644,5434,5959,5814,6176,6447,7048,7360,7340,7845,6875,7395,5373,5837,3655,4186,2683,3326,2048,2758,2043,3777
50,6,7,California,Butte County,6,109707,111934,6162,5909,6369,6234,6529,6088,8098,7849,13660,12829,7149,6394,6750,6261,5750,5515,5903,5768,5950,6199,6844,7264,7280,7702,6976,7599,5652,6139,3840,4393,2769,3391,2019,2638,2007,3762
50,6,7,California,Butte County,7,110561,112955,6344,5965,6377,6155,6477,6286,8004,7770,13553,12873,7357,6508,6989,6464,5892,5700,5864,5696,5869,6000,6665,7174,7244,7700,7071,7717,5990,6478,4018,4618,2856,3453,2013,2640,1978,3758
50,6,7,California,Butte County,8,111067,113564,6448,5950,6372,6185,6470,6235,7916,7790,13197,12582,7752,6874,6926,6532,6186,5879,5800,5580,5828,5936,6456,7051,7189,7630,7069,7807,6341,6781,4213,4801,2900,3517,2030,2682,1974,3752
50,6,7,California,Butte County,9,111821,114410,6429,5983,6478,6133,6408,6274,7878,7728,12803,12327,8352,7339,6936,6624,6459,6099,5722,5546,5890,5964,6257,6747,7039,7545,7140,7854,6658,7248,4340,4972,3002,3629,2046,2674,1984,3724
50,6,7,California,Butte County,10,112940,115756,6469,6070,6538,6182,6452,6356,7898,7688,12618,12380,8764,7731,6825,6586,6773,6376,5760,5624,5988,5997,6138,6497,6904,7493,7206,7928,6614,7339,4857,5495,3130,3660,2031,2713,1975,3641
50,6,7,California,Butte County,11,113816,116523,6552,6117,6566,6172,6588,6374,7885,7746,12552,12277,8783,8006,6889,6504,6996,6611,5927,5728,5947,5970,5934,6261,6820,7439,7135,7872,6779,7538,5164,5769,3250,3829,2109,2738,1940,3572
50,6,7,California,Butte County,12,108473,110713,6207,5855,6431,5985,6306,6101,7593,7622,12086,11829,8299,7644,6649,6222,6761,6377,5860,5718,5598,5575,5635,5712,6286,6873,6604,7130,6210,6959,5037,5557,3111,3702,2010,2555,1790,3297
50,6,9,California,Calaveras County,4,22608,22552,974,923,1076,1042,1377,1276,1525,1310,1018,924,1044,889,925,893,939,935,1160,1291,1567,1551,1951,2055,1981,2254,2187,2124,1752,1703,1315,1310,902,866,531,596,384,610
50,6,9,California,Calaveras County,5,22456,22359,933,854,1077,1061,1318,1201,1458,1328,1025,929,1008,842,939,902,946,895,1125,1229,1477,1513,1863,1947,2026,2241,2094,2082,1909,1849,1359,1329,952,937,532,590,415,630
50,6,9,California,Calaveras County,6,22345,22310,909,833,1047,1042,1253,1168,1443,1274,1056,970,992,855,957,939,969,875,1069,1174,1373,1408,1805,1905,2049,2189,2052,2152,1987,1880,1402,1403,1007,1015,554,609,421,619
50,6,9,California,Calaveras County,7,22356,22315,925,842,1024,1061,1223,1109,1422,1194,1077,943,987,934,994,926,1001,908,1050,1103,1281,1335,1744,1854,2016,2151,2052,2241,2049,1955,1487,1476,1029,1013,576,630,419,640
50,6,9,California,Calaveras County,8,22450,22515,950,873,1018,1047,1169,1086,1360,1156,1133,934,983,969,1051,979,1000,971,1042,1007,1242,1333,1688,1698,1996,2225,2045,2297,2113,2076,1557,1500,1049,1049,621,650,433,665
50,6,9,California,Calaveras County,9,22591,22731,969,904,1026,1010,1146,1098,1331,1102,1103,964,1034,985,1116,1028,1066,1032,982,952,1245,1368,1614,1614,1981,2178,2034,2388,2162,2142,1628,1540,1079,1079,620,658,455,689
50,6,9,California,Calaveras County,10,22762,22919,1013,940,1048,969,1142,1109,1273,1084,1105,954,1075,1045,1172,1104,1101,1071,1005,977,1228,1324,1532,1569,1951,2122,2063,2404,2051,2107,1738,1667,1123,1109,668,705,474,659
50,6,9,California,Calaveras County,11,22747,22951,1033,966,1058,962,1093,1131,1256,1047,1060,959,1114,1028,1158,1110,1181,1108,1015,986,1182,1300,1463,1503,1853,2034,2148,2364,1992,2141,1763,1716,1178,1168,721,755,479,673
50,6,9,California,Calaveras County,12,22847,23058,1056,999,1080,1027,1081,1102,1252,1033,1011,909,1147,1055,1182,1161,1228,1114,1070,1011,1161,1232,1384,1487,1813,1973,2164,2307,1980,2188,1774,1810,1227,1203,748,765,489,682
50,6,11,California,Colusa County,4,10976,10347,916,849,932,810,856,822,970,778,720,602,734,679,644,674,648,630,699,657,675,630,720,705,665,618,593,562,419,404,307,290,189,216,165,197,124,224
50,6,11,California,Colusa County,5,10944,10340,881,804,928,821,839,813,903,742,771,653,720,669,693,636,615,648,685,630,672,642,698,677,711,659,578,552,445,439,323,316,192,215,164,192,126,232
50,6,11,California,Colusa County,6,10923,10327,822,782,954,835,828,780,888,738,784,687,722,667,714,626,617,636,662,621,670,626,692,665,704,655,567,570,455,433,349,346,215,228,146,189,134,243
50,6,11,California,Colusa County,7,10844,10332,781,790,932,836,859,762,864,729,774,687,710,636,732,675,624,626,617,595,668,613,679,662,692,641,573,596,469,456,363,356,228,240,139,178,140,254
50,6,11,California,Colusa County,8,10850,10381,770,783,904,811,860,746,836,742,781,718,715,600,733,708,625,629,610,589,660,614,670,639,700,665,595,604,496,472,366,371,242,251,142,177,145,262
50,6,11,California,Colusa County,9,10978,10518,770,776,899,821,884,774,841,739,760,718,755,621,725,708,672,666,588,591,663,642,650,609,719,679,629,592,508,507,358,370,259,261,139,183,159,261
50,6,11,California,Colusa County,10,11006,10573,811,787,862,811,897,814,865,740,709,706,765,663,721,693,707,655,596,613,650,627,644,603,660,650,673,603,498,502,377,393,276,282,142,177,153,254
50,6,11,California,Colusa County,11,10925,10493,764,735,830,787,910,823,853,742,722,677,754,704,723,675,697,672,605,606,624,617,650,616,657,618,641,599,503,509,386,382,295,307,167,183,144,241
50,6,11,California,Colusa County,12,10975,10572,755,734,805,783,924,827,872,728,668,684,765,728,743,669,721,723,629,601,598,598,638,610,669,612,642,607,510,543,398,391,314,318,181,187,143,229
50,6,13,California,Contra Costa County,4,519361,546079,33690,32678,37099,35520,38058,36545,37929,35653,32150,30574,32534,32528,32524,34214,33387,35774,38443,40413,40285,42514,39756,42054,34844,37330,29528,33035,20408,23652,14348,16846,10070,12770,7436,10776,6872,13203
50,6,13,California,Contra Costa County,5,525387,552161,33188,31991,37446,35746,38059,36784,37646,35412,33292,31789,32448,32449,33537,34659,33345,35823,38363,40203,39718,41856,40128,42389,35990,38444,29506,33279,22540,25975,15115,17881,10403,13126,7605,10792,7058,13563
50,6,13,California,Contra Costa County,6,533254,560147,33042,32019,37547,35999,38460,37103,37481,35259,34534,33028,32887,32542,34447,35594,33858,36145,38141,39962,39380,41439,40619,42945,36856,39200,30051,33914,23803,27489,16146,19144,10912,13659,7793,10865,7297,13841
50,6,13,California,Contra Costa County,7,541082,567794,33273,32087,37440,35833,38868,37531,37209,35224,35063,33869,33697,33125,35475,36423,34524,36738,37649,39505,39312,41130,41232,43311,37349,39802,30967,34664,25053,28992,17013,20368,11484,14197,7842,10924,7632,14071
50,6,13,California,Contra Costa County,8,548866,575539,33483,32297,37425,35897,39105,37668,37387,35422,35245,33917,34723,33841,35999,36958,35672,37798,37036,38870,39680,41427,41188,43297,38128,40504,31862,35471,26187,30472,17777,21544,12059,14781,7957,10965,7953,14410
50,6,13,California,Contra Costa County,9,555612,581656,33614,32307,37307,35713,39039,37851,37434,35570,34847,33303,36092,35207,36741,37226,36933,38855,36727,38789,39840,41622,40842,42643,38655,40835,32899,36247,27181,31638,18601,22651,12602,15510,8116,11049,8142,14640
50,6,13,California,Contra Costa County,10,559900,585635,33318,32376,36769,35215,39545,37864,37321,35814,34494,33157,36991,35774,36443,37085,38268,39486,36819,39029,39938,41508,40063,41859,38902,40980,33760,36944,26950,31525,20455,24636,13210,16382,8340,11314,8314,14687
50,6,13,California,Contra Costa County,11,562835,587684,33314,31895,36120,34786,39556,37891,37613,35808,33883,32593,37108,35866,36798,37041,38864,40119,37181,39199,39525,41050,39352,41267,39214,41137,34362,37313,27184,31905,21557,25847,13941,17505,8775,11707,8488,14755
