STATE,COUNTY,STNAME,COUNTY_NAME,YEAR,AGEGRP,POPULATION,GENDER
6,1,California,Alameda,9,5,51364,M
6,1,California,Alameda,9,6,56464,M
6,1,California,Alameda,9,7,53810,M
6,1,California,Alameda,9,8,58088,M
6,1,California,Alameda,9,9,56395,M
6,1,California,Alameda,9,10,55512,M
6,1,California,Alameda,9,11,50313,M
6,1,California,Alameda,9,12,42830,M
6,1,California,Alameda,9,13,31400,M
6,1,California,Alameda,9,14,20521,M
6,1,California,Alameda,9,15,15718,M
6,1,California,Alameda,9,16,12257,M
6,1,California,Alameda,9,17,9267,M
6,1,California,Alameda,9,18,7293,M
6,1,California,Alameda,9,99,714166,M
6,1,California,Alameda,10,0,10154,M
6,1,California,Alameda,10,1,40519,M
6,1,California,Alameda,10,2,45898,M
6,1,California,Alameda,10,3,46967,M
6,1,California,Alameda,10,4,51169,M
6,1,California,Alameda,10,5,52364,M
6,1,California,Alameda,10,6,57195,M
6,1,California,Alameda,10,7,54364,M
6,1,California,Alameda,10,8,58381,M
6,1,California,Alameda,10,9,55719,M
6,1,California,Alameda,10,10,55903,M
6,1,California,Alameda,10,11,51616,M
6,1,California,Alameda,10,12,43714,M
6,1,California,Alameda,10,13,33308,M
6,1,California,Alameda,10,14,22134,M
6,1,California,Alameda,10,15,16052,M
6,1,California,Alameda,10,16,12347,M
6,1,California,Alameda,10,17,9122,M
6,1,California,Alameda,10,18,7616,M
6,1,California,Alameda,10,99,724542,M
6,1,California,Alameda,11,0,9623,M
6,1,California,Alameda,11,1,40822,M
6,1,California,Alameda,11,2,47277,M
6,1,California,Alameda,11,3,46799,M
6,1,California,Alameda,11,4,51465,M
6,1,California,Alameda,11,5,53738,M
6,1,California,Alameda,11,6,57035,M
6,1,California,Alameda,11,7,55261,M
6,1,California,Alameda,11,8,57967,M
6,1,California,Alameda,11,9,55685,M
6,1,California,Alameda,11,10,56400,M
6,1,California,Alameda,11,11,52408,M
6,1,California,Alameda,11,12,44790,M
6,1,California,Alameda,11,13,35646,M
6,1,California,Alameda,11,14,23524,M
6,1,California,Alameda,11,15,16593,M
6,1,California,Alameda,11,16,12565,M
6,1,California,Alameda,11,17,9105,M
6,1,California,Alameda,11,18,8003,M
6,1,California,Alameda,11,99,734706,M
6,1,California,Alameda,12,0,9660,M
6,1,California,Alameda,12,1,40599,M
6,1,California,Alameda,12,2,48145,M
6,1,California,Alameda,12,3,46403,M
6,1,California,Alameda,12,4,51445,M
6,1,California,Alameda,12,5,54515,M
6,1,California,Alameda,12,6,56185,M
6,1,California,Alameda,12,7,56256,M
6,1,California,Alameda,12,8,57062,M
6,1,California,Alameda,12,9,55959,M
6,1,California,Alameda,12,10,56168,M
6,1,California,Alameda,12,11,53431,M
6,1,California,Alameda,12,12,45580,M
6,1,California,Alameda,12,13,37509,M
6,1,California,Alameda,12,14,24568,M
6,1,California,Alameda,12,15,17060,M
6,1,California,Alameda,12,16,12617,M
6,1,California,Alameda,12,17,9144,M
6,1,California,Alameda,12,18,8267,M
6,1,California,Alameda,12,99,740573,M
6,1,California,Alameda,13,0,9653,M
6,1,California,Alameda,13,1,40546,M
6,1,California,Alameda,13,2,48226,M
6,1,California,Alameda,13,3,46511,M
6,1,California,Alameda,13,4,51294,M
6,1,California,Alameda,13,5,54690,M
6,1,California,Alameda,13,6,56266,M
